LS,FS,RS,Theta_d,vel_R,vel_L
0.4555,0.1589,0.0812,0.3388,6.0071,1.9109
0.1817,0.5374,0.5632,0.205,2.4981,6.4076
0.8643,0.9956,0.1035,0.952,8.1374,0.0226
0.2409,0.0141,0.3781,0.8974,-1.8484,8.9571
0.2266,0.9367,0.663,0.1253,1.8841,7.3754
0.5682,0.3039,0.792,0.543,4.5281,5.2155
0.9531,0.6799,0.816,0.836,2.7475,7.0771
0.1842,0.1156,0.01,0.6335,3.6414,3.4139
0.3443,0.6617,0.0016,0.7266,4.8703,2.0743
0.4855,0.4217,0.8372,0.9673,0.9025,9.2718
0.9283,0.7187,0.8065,0.5202,4.6872,4.9312
0.1535,0.329,0.1612,0.8819,-0.1835,8.8389
0.5499,0.7053,0.3814,0.5888,4.6939,5.3749
0.8508,0.9136,0.1053,0.4671,4.8684,3.311
0.4241,0.1133,0.6168,0.3692,5.7409,2.5216
0.1995,0.9601,0.4718,0.9846,-0.9442,9.9965
0.6667,0.8994,0.1395,0.4421,4.4185,4.1056
0.0263,0.9543,0.3503,0.5514,3.3645,3.9002
0.5245,0.0106,0.3342,0.229,7.2324,-0.1698
0.5149,0.0044,0.1118,0.3731,5.2357,1.7458
0.5234,0.7363,0.9132,0.7715,2.9668,7.2824
0.7738,0.7573,0.0808,0.8835,7.2383,0.6756
0.1053,0.5814,0.8654,0.7063,1.5344,6.6451
0.3571,0.4601,0.2723,0.5653,3.4699,6.0953
0.7391,0.9496,0.3754,0.0278,9.4758,0.5734
0.5824,0.2626,0.5483,0.0873,9.129,0.3756
0.4658,0.0241,0.2267,0.8518,-1.1142,8.3511
0.6205,0.5781,0.7123,0.6769,3.7758,6.3995
0.4429,0.8927,0.9824,0.5889,4.3302,5.8831
0.5509,0.1117,0.5182,0.1888,7.9575,0.2886
0.9371,0.101,0.5913,0.5225,2.5407,5.5927
0.3566,0.3466,0.1977,0.5299,3.1042,5.9338
0.8438,0.679,0.5956,0.5737,4.1603,5.974
0.3899,0.6297,0.0314,0.6746,4.3247,3.0046
0.0652,0.8147,0.4648,0.075,-0.0034,7.7388
0.6482,0.6547,0.6539,0.3248,4.6424,5.3207
0.8744,0.1846,0.5167,0.4477,4.6779,4.2523
0.0603,0.343,0.2816,0.6535,1.8508,5.8281
0.5589,0.3476,0.3898,0.4042,5.9047,4.042
0.7417,0.9247,0.9638,0.2435,3.9675,5.5094
0.8674,0.064,0.2549,0.7858,0.1706,7.5514
0.6082,0.644,0.543,0.3982,5.9069,4.3249
0.0361,0.4933,0.7467,0.0863,-0.1443,7.531
0.794,0.6171,0.1948,0.6497,4.7854,4.229
0.1473,0.4386,0.1917,0.4798,4.1259,4.472
0.5837,0.461,0.9847,0.5418,4.8056,5.4303
0.6382,0.6839,0.8591,0.6204,4.178,5.8241
0.4972,0.568,0.4827,0.3124,6.6939,3.5584
0.6605,0.4391,0.4761,0.0449,9.1019,1.1053
0.6398,0.3156,0.8233,0.5812,4.0874,5.7157
0.8487,0.9499,0.5579,0.8191,6.5826,3.6287
0.7078,0.4776,0.9131,0.7355,3.1474,7.1028
0.1273,0.6759,0.6558,0.342,3.801,4.6031
0.6584,0.4899,0.1862,0.2287,7.5772,1.3663
0.9983,0.4294,0.0798,0.6079,3.7316,4.1709
0.1327,0.4377,0.425,0.4645,5.0934,3.364
0.6504,0.149,0.6339,0.8496,0.1585,8.4549
0.9814,0.2184,0.7973,0.2118,7.7945,1.4045
0.679,0.5877,0.0991,0.2412,7.2859,0.8279
0.5807,0.1616,0.8655,0.6074,3.1068,5.6224
0.6285,0.6169,0.4551,0.3197,6.6708,3.559
0.5015,0.2083,0.4228,0.4559,4.9093,4.2128
0.6748,0.8363,0.3443,0.507,6.8509,3.0824
0.4083,0.9571,0.4557,0.4682,5.5971,4.5475
0.9587,0.1139,0.0512,0.7216,5.0468,2.5234
0.9221,0.6797,0.971,0.2402,6.5885,3.2371
0.8477,0.5881,0.278,0.8122,6.7514,2.8476
0.802,0.449,0.7207,0.0691,8.8539,1.3676
0.5441,0.6691,0.2133,0.3909,5.7965,3.3635
0.3005,0.9224,0.7221,0.422,6.1009,3.6252
0.7934,0.864,0.214,0.1623,8.3435,0.8226
0.4945,0.4189,0.0104,0.7182,4.8003,2.2602
0.125,0.6061,0.6644,0.588,3.1226,5.2589
0.2948,0.4969,0.9132,0.8043,1.7268,7.9686
0.2409,0.4111,0.44,0.6677,2.8646,6.4964
0.179,0.6043,0.9718,0.6672,2.5158,6.3663
0.2229,0.1784,0.1745,0.8913,7.503,1.3411
0.8594,0.9217,0.2104,0.2011,7.9094,1.2291
0.5288,0.0197,0.6991,0.8344,-0.9293,8.1098
0.2275,0.9746,0.3503,0.2703,3.4828,5.7839
0.1747,0.3684,0.2347,0.4128,4.8593,3.9858
0.7218,0.1416,0.1081,0.0292,9.9255,-1.7163
0.6532,0.8899,0.7264,0.3683,4.9265,5.0171
0.6832,0.2996,0.4421,0.6944,2.877,6.844
0.0886,0.2136,0.4398,0.2749,2.7375,5.2625
0.6667,0.5047,0.07,0.9865,8.5345,-0.7437
0.1072,0.027,0.0317,0.7971,-0.3479,7.6217
0.6042,0.3806,0.763,0.287,7.0309,3.0358
0.2335,0.2373,0.7014,0.078,1.4122,7.8976
0.1263,0.142,0.0803,0.2531,7.0925,0.8152
0.8546,0.2884,0.5029,0.3373,6.5111,3.1484
0.1483,0.3533,0.4565,0.4527,5.4865,3.1207
0.2748,0.4987,0.2386,0.4515,4.9288,4.4169
0.7551,0.8516,0.203,0.7701,6.1708,2.9092
0.1729,0.8254,0.1309,0.5857,3.743,4.697
0.2626,0.3494,0.6714,0.2168,3.0744,6.4303
0.1216,0.3489,0.7456,0.3004,3.2632,5.0845
0.3778,0.7629,0.562,0.8019,2.1918,7.8657
0.3516,0.8607,0.4841,0.5501,4.7722,5.1909
0.3129,0.9473,0.0389,0.1122,8.8517,-1.4302
0.1667,0.5771,0.0153,0.7607,5.4027,1.7214
0.8566,0.0469,0.2666,0.4353,3.8712,3.6477
0.8323,0.405,0.3126,0.1513,8.4074,1.3803
0.4525,0.3419,0.9707,0.9753,0.3198,9.6033
0.3279,0.7611,0.4644,0.7497,2.4566,7.4049
0.2455,0.1756,0.1688,0.6199,4.3356,4.4583
0.7477,0.1619,0.9776,0.7678,1.2287,7.5036
0.0786,0.0709,0.1159,0.7206,1.0723,6.7287
0.1202,0.7266,0.1565,0.4967,0.7671,7.5663
0.5884,0.754,0.6887,0.7624,3.1559,6.9959
0.149,0.963,0.1897,0.6899,2.0541,6.5593
0.8143,0.3901,0.1682,0.2261,7.586,1.2027
0.1257,0.849,0.2188,0.7426,1.2487,7.14
0.7664,0.9723,0.1612,0.6253,4.3646,4.3616
0.7814,0.6394,0.1524,0.8927,7.4872,1.158
0.0733,0.1221,0.551,0.7317,0.9512,6.8775
0.301,0.6394,0.7684,0.1893,2.9705,6.7577
0.6121,0.65,0.0415,0.5438,2.0741,5.3792
0.1963,0.9677,0.5976,0.5206,2.9478,6.0789
0.9614,0.8423,0.0149,0.4122,4.7542,2.3647
0.1975,0.3093,0.9245,0.4151,4.9708,4.0651
0.5872,0.3187,0.5472,0.2008,7.9053,1.9132
0.5055,0.1743,0.4678,0.3799,5.8127,3.0293
0.6189,0.7946,0.5845,0.3073,6.4995,3.6616
0.764,0.4894,0.6564,0.4829,6.5334,3.722
0.0186,0.1406,0.7234,0.3665,3.4671,3.699
0.4455,0.2956,0.0367,0.4694,4.663,2.7318
0.2356,0.1329,0.4091,0.9496,-1.1913,9.6508
0.5166,0.905,0.0409,0.9715,8.3035,-0.8573
0.7145,0.8313,0.518,0.4047,5.89,4.3623
0.3598,0.782,0.8485,0.9634,0.557,9.4379
0.3673,0.7559,0.507,0.2035,3.3797,6.6418
0.6298,0.1643,0.0886,0.4036,5.2166,2.7834
0.8007,0.5284,0.284,0.5813,4.3624,5.2725
0.6338,0.1436,0.3818,0.0008,10.2411,-1.678
0.6645,0.7271,0.7534,0.1245,3.2959,6.5994
0.1414,0.5233,0.6581,0.6535,2.4366,6.1049
0.145,0.4576,0.468,0.1127,1.1614,7.415
0.6098,0.3061,0.334,0.3735,6.1613,3.5936
0.6691,0.8757,0.0283,0.0303,9.9399,-2.6497
0.3559,0.4844,0.8289,0.1428,2.7544,7.2251
0.0617,0.8417,0.7313,0.8938,-1.2502,8.9456
0.2863,0.902,0.4696,0.753,2.2068,7.4404
0.9984,0.844,0.0996,0.8596,6.9819,1.1371
0.1579,0.8327,0.795,0.5979,3.1976,5.4988
0.3993,0.0004,0.562,0.2542,6.857,0.0712
0.7857,0.918,0.0337,0.5959,3.2883,4.0686
0.3675,0.424,0.8438,0.0,1.4458,8.5768
0.9093,0.6447,0.9846,0.2965,6.3694,3.608
0.5262,0.3733,0.6458,0.2598,7.2909,2.7511
0.4511,0.0184,0.7601,0.034,9.8918,-2.7277
0.4469,0.1407,0.8451,0.5661,4.1732,4.3622
0.2666,0.5153,0.9428,0.9643,-0.1365,9.6667
0.9604,0.3,0.573,0.7427,2.3862,7.3369
0.4962,0.0941,0.0447,0.9324,7.7937,-0.3014
0.4942,0.4941,0.7004,0.2415,7.259,2.9974
0.7671,0.549,0.5525,0.9512,1.6379,8.5867
0.974,0.2801,0.7979,0.4215,4.8426,4.7687
0.5188,0.6074,0.0417,0.0528,9.6389,-2.1835
0.6717,0.0751,0.9909,0.5177,1.8066,6.0427
0.1197,0.5316,0.2148,0.1352,1.2329,7.0953
0.4742,0.5723,0.7737,0.1135,2.9174,7.3298
0.4178,0.6789,0.4047,0.3392,6.5367,3.5987
0.2463,0.9573,0.8471,0.2449,3.2963,6.1017
0.9861,0.8681,0.2104,0.7434,5.8898,3.2486
0.6201,0.183,0.7962,0.3061,6.6855,2.2314
0.5155,0.4784,0.9478,0.7991,2.6159,7.6344
0.0467,0.19,0.6654,0.8618,-0.997,8.5139
0.0509,0.7483,0.79,0.1428,0.7431,6.8241
0.832,0.8554,0.8312,0.7624,5.0857,3.7081
0.8443,0.1327,0.2313,0.5983,3.0444,5.4131
0.4551,0.0711,0.938,0.3712,5.5556,2.2485
0.2792,0.978,0.2131,0.2571,7.287,1.872
0.7108,0.5343,0.6588,0.1845,7.5966,2.6445
0.5296,0.5373,0.0866,0.4657,4.7158,3.2616
0.877,0.7023,0.0813,0.7294,5.2825,2.6365
0.7121,0.5433,0.0832,0.8702,7.0749,0.8656
0.0537,0.5396,0.7879,0.8489,-0.7528,8.3538
0.9683,0.4133,0.4521,0.6153,4.0366,6.1193
0.7062,0.3516,0.9087,0.7203,2.8526,7.1104
0.775,0.4651,0.4028,0.1053,8.6767,1.4535
0.8465,0.4559,0.6368,0.3501,6.408,3.8228
0.1294,0.4573,0.7266,0.2399,2.5768,5.8478
0.0381,0.5286,0.6148,0.1158,0.2672,7.144
0.1336,0.8963,0.7254,0.2087,2.228,6.2387
0.8687,0.8133,0.1437,0.9068,7.643,0.9211
0.4143,0.9567,0.1467,0.9819,8.5401,0.0517
0.7387,0.0419,0.3119,0.4577,4.1893,3.2692
0.919,0.0783,0.6085,0.4745,5.2168,2.6683
0.2272,0.155,0.5502,0.3043,6.6456,2.0242
0.5709,0.0476,0.7543,0.1349,8.5611,-1.0339
0.033,0.9214,0.6984,0.8631,-1.1655,8.5142
0.5995,0.314,0.6008,0.9748,0.1234,9.6715
0.9867,0.2753,0.4384,0.3183,6.6946,2.889
0.3273,0.4747,0.212,0.5461,3.1806,5.9702
0.9057,0.31,0.5192,0.9964,-0.1247,9.9001
0.7877,0.7157,0.0392,0.0863,9.1952,-1.7696
0.793,0.9363,0.9656,0.7869,3.0139,6.0979
0.4581,0.779,0.7816,0.0105,1.9833,8.2495
0.6307,0.5457,0.9037,0.5845,4.4616,5.7671
0.6154,0.6934,0.4784,0.5425,4.0756,6.1747
0.4315,0.3281,0.4005,0.9177,0.7927,9.0699
0.9053,0.6539,0.8908,0.9616,1.8817,8.0588
0.8057,0.345,0.7105,0.2959,6.9566,2.9798
0.2598,0.3247,0.4778,0.7158,2.4504,7.0368
0.7084,0.7203,0.2266,0.227,7.632,1.6275
0.7628,0.3819,0.6348,0.5009,0.5776,9.4932
0.5044,0.6626,0.0686,0.6993,4.841,2.9343
0.0702,0.0547,0.8927,0.4429,3.9849,3.6274
0.9071,0.2286,0.8412,0.0827,9.2172,0.0576
0.2149,0.2296,0.8964,0.7189,2.153,7.0193
0.6032,0.1851,0.3919,0.2712,7.0893,1.8451
0.9581,0.1753,0.6141,0.735,1.7087,7.1415
0.6029,0.109,0.5513,0.0379,9.8176,-1.5991
0.4498,0.478,0.5273,0.5158,3.4906,6.7319
0.4212,0.1084,0.7144,0.9922,-1.9737,10.185
0.7687,0.8797,0.3323,0.7555,6.2264,3.6547
0.0552,0.4567,0.311,0.4505,5.1502,2.4683
0.7238,0.026,0.1308,0.5837,2.5078,4.7527
0.2768,0.8173,0.2284,0.7526,6.0345,3.2384
0.6111,0.3291,0.3471,0.8839,1.1339,8.7327
0.4305,0.3813,0.3503,0.8623,7.2748,2.6832
0.5371,0.8223,0.9896,0.431,6.0458,4.1922
0.3352,0.7976,0.7238,0.8235,1.766,8.1283
0.1052,0.1343,0.0849,0.1039,8.9915,-1.0325
0.4515,0.7393,0.9098,0.4749,5.3068,4.9178
0.1449,0.6546,0.808,0.6181,2.8814,5.6939
0.7164,0.7736,0.1135,0.2458,7.2586,1.006
0.0824,0.5469,0.3425,0.216,1.9488,5.9825
0.6838,0.3283,0.6365,0.3366,6.5521,3.3115
0.2377,0.9193,0.3017,0.8191,1.2018,8.1377
0.0329,0.7596,0.6018,0.3421,3.2343,4.1134
0.9288,0.7339,0.4231,0.4706,5.7893,4.3882
0.8694,0.9176,0.7338,0.1349,6.9317,2.5965
0.3978,0.7357,0.475,0.8548,1.7962,8.3208
0.5225,0.0823,0.6415,0.3455,5.9259,2.0044
0.2423,0.0309,0.9743,0.7264,0.6373,6.6848
0.5587,0.6866,0.3482,0.0612,9.2329,0.7158
0.7218,0.604,0.6156,0.0042,8.6119,1.4999
0.5771,0.1867,0.5309,0.9398,-0.5549,9.5026
0.6054,0.8367,0.4783,0.2681,7.0727,3.1775
0.9571,0.0686,0.6442,0.8143,-0.1526,7.928
0.1656,0.1819,0.3725,0.5886,3.3493,5.4158
0.5495,0.5633,0.4009,0.298,6.9152,3.2099
0.114,0.5016,0.0329,0.2574,6.9107,0.437
0.9416,0.001,0.7273,0.3214,5.9327,1.0037
0.4815,0.6427,0.0232,0.8326,6.4058,0.8188
0.7157,0.6879,0.8198,0.6276,4.0809,5.7047
0.2745,0.1286,0.1378,0.2208,7.5922,0.8252
0.2846,0.285,0.8699,0.1286,2.2637,7.3743
0.4459,0.9727,0.6095,0.5143,3.3204,6.8971
0.4455,0.2513,0.0111,0.8765,6.9637,0.106
0.3328,0.8833,0.327,0.7978,6.6416,3.2158
0.033,0.7239,0.2043,0.5745,3.6124,3.7364
0.8315,0.3799,0.0389,0.3414,5.8142,1.6074
0.5639,0.4791,0.1151,0.7675,5.8875,2.3935
0.3249,0.9046,0.2437,0.3887,5.8943,3.4862
0.7022,0.9641,0.8699,0.2963,4.3649,5.3469
0.2093,0.4097,0.9025,0.0616,1.0596,8.0706
0.6432,0.7091,0.0547,0.3041,6.3624,1.2499
0.0643,0.0849,0.0447,0.38,5.3287,2.1636
0.1603,0.1587,0.0668,0.5623,2.2664,5.4885
0.3266,0.8457,0.058,0.8128,6.264,1.3873
0.0687,0.7954,0.1178,0.2336,2.0692,5.7072
0.3983,0.6689,0.9311,0.092,2.4571,7.6608
0.9047,0.7384,0.5495,0.6488,5.2937,4.9299
0.051,0.3313,0.5339,0.2995,2.795,4.7732
0.307,0.5994,0.497,0.3464,4.5896,5.1704
0.4636,0.4077,0.6984,0.9345,1.1193,9.0232
0.5105,0.6704,0.5785,0.4843,4.6424,5.613
0.3763,0.633,0.9573,0.9957,0.3602,9.6921
0.9196,0.3289,0.8106,0.2115,7.7909,2.0748
0.8804,0.8987,0.6301,0.3265,6.2169,3.8139
0.6265,0.6841,0.0567,0.6297,3.8768,3.7591
0.671,0.6381,0.7599,0.3845,5.7922,4.2098
0.2798,0.8946,0.4697,0.4684,5.3972,4.2131
0.6392,0.6914,0.9664,0.6364,4.0678,5.9302
0.2555,0.8691,0.7353,0.1101,1.9002,7.5593
0.6104,0.2286,0.8182,0.4131,5.5921,3.6827
0.4446,0.5221,0.3665,0.9851,8.4343,1.5842
0.0304,0.7934,0.1988,0.3507,3.3323,3.9836
0.6605,0.955,0.8774,0.3601,4.8572,5.0556
0.4468,0.0189,0.1196,0.9976,-3.1463,10.3166
0.7191,0.7833,0.4032,0.075,8.9524,1.1788
0.744,0.0569,0.038,0.889,7.2047,0.2056
0.1014,0.8171,0.787,0.3583,3.8606,4.2778
0.6598,0.1824,0.7873,0.2761,7.0288,1.883
0.2642,0.6556,0.8842,0.3223,4.199,5.3159
0.6291,0.7384,0.1504,0.9428,8.0781,0.5485
0.2506,0.0871,0.9032,0.358,5.7856,2.198
0.7797,0.5554,0.7354,0.8498,2.4362,7.7792
0.4342,0.4194,0.6195,0.1513,8.2176,1.9526
0.3545,0.0103,0.8826,0.379,5.1835,1.876
0.9554,0.1514,0.4434,0.5743,4.2623,4.3736
0.0123,0.1401,0.3012,0.6153,1.9733,5.1118
0.6512,0.3623,0.0006,0.9801,8.363,-1.4317
0.2559,0.2159,0.2637,0.9799,-0.7404,9.9209
0.3616,0.4801,0.2,0.3541,6.1764,2.8801
0.6607,0.4974,0.4009,0.0094,9.5607,0.5645
0.143,0.4713,0.8452,0.1362,1.4263,7.1307
0.9554,0.9644,0.5745,0.5764,4.159,6.0235
0.4393,0.4857,0.2441,0.5551,3.3411,6.0425
0.7728,0.0804,0.2677,0.203,7.7292,0.1795
0.779,0.349,0.6787,0.0983,8.8722,1.0806
0.5166,0.3506,0.2123,0.3517,6.2311,2.9217
0.2323,0.6593,0.0103,0.0997,8.9969,-1.9374
0.7054,0.3717,0.6654,0.995,0.3354,9.7015
0.0486,0.7211,0.6295,0.6231,2.1559,5.3836
0.3538,0.354,0.7712,0.1553,2.8659,7.1054
0.3448,0.1283,0.8473,0.3517,6.0051,2.4092
0.5274,0.3566,0.9906,0.2512,7.3853,2.5973
0.7491,0.9456,0.991,0.6803,3.6712,5.7575
0.344,0.9019,0.1189,0.1967,7.8704,0.4496
0.3008,0.1331,0.6504,0.7307,1.4504,7.0111
0.3965,0.5026,0.5369,0.7864,2.4198,7.6941
0.806,0.439,0.9315,0.052,9.0401,1.1671
0.9377,0.4674,0.5886,0.3311,6.5579,3.6842
0.7983,0.1614,0.7131,0.4537,4.682,4.0462
0.9333,0.2634,0.1382,0.6917,5.0534,3.4573
0.3279,0.4456,0.0906,0.43,4.0875,3.9341
0.3273,0.2619,0.3696,0.2589,7.3094,2.1911
0.9896,0.3159,0.9147,0.8759,1.1301,8.674
0.2878,0.0271,0.3591,0.945,-2.3309,9.6057
0.6612,0.2203,0.4092,0.8362,0.8893,8.3241
0.0813,0.6809,0.5848,0.2541,2.424,5.4949
0.5742,0.4764,0.6807,0.1763,7.8488,2.4004
0.7801,0.6943,0.4048,0.3181,6.7291,3.4063
0.3103,0.8817,0.2477,0.5525,3.3581,6.0501
0.3123,0.9496,0.0519,0.0592,9.5562,-1.9767
0.6465,0.9066,0.8861,0.7528,3.276,6.6943
0.9943,0.8776,0.8188,0.437,4.7749,4.1266
0.251,0.4679,0.2629,0.0087,0.785,8.6447
0.1717,0.7414,0.4771,0.2278,2.7002,6.1192
0.3252,0.0824,0.5061,0.8664,-0.6785,8.6098
0.1317,0.4324,0.7853,0.4568,5.3368,3.1114
0.5552,0.716,0.1933,0.5358,3.0803,5.9218
0.026,0.672,0.4094,0.6891,1.0922,6.1683
0.743,0.6467,0.1848,0.7679,6.101,2.8303
0.0772,0.8826,0.1988,0.0923,0.3323,7.5405
0.3163,0.5506,0.2025,0.6845,5.2065,3.8704
0.7182,0.9229,0.3785,0.6447,5.2131,4.8464
0.6401,0.9653,0.2389,0.7963,6.532,2.8157
0.4542,0.0564,0.9481,0.8681,-0.9733,8.6061
0.2882,0.7543,0.0662,0.4546,4.2432,3.5045
0.0024,0.638,0.3339,0.5729,3.4064,3.5485
0.5681,0.962,0.9408,0.9787,1.4999,8.695
0.0763,0.3647,0.4403,0.8181,-0.1253,7.9878
0.0746,0.9889,0.082,0.9187,-1.4283,9.2714
0.8864,0.9986,0.2244,0.2312,7.5844,1.6597
0.2415,0.4876,0.9391,0.7292,2.2022,7.163
0.7491,0.1134,0.5113,0.383,5.5717,2.6919
0.5432,0.1929,0.7483,0.347,6.24,2.7589
0.8658,0.8971,0.3965,0.441,5.1694,4.9444
0.5164,0.7669,0.1256,0.8159,6.5111,1.8766
0.226,0.1011,0.6108,0.4762,5.4529,2.6815
0.9813,0.8503,0.8096,0.0321,6.9331,2.0454
0.3906,0.814,0.2747,0.1068,8.9088,0.6707
0.3818,0.1014,0.7157,0.4107,5.1818,2.9567
0.2083,0.6306,0.2407,0.3149,3.8875,5.2346
0.4369,0.4359,0.3748,0.6613,5.3643,4.6829
0.7963,0.1357,0.6641,0.906,-0.6384,9.1256
0.4331,0.9424,0.1744,0.6683,4.9208,3.9222
0.0803,0.958,0.2903,0.918,-1.3558,9.2635
0.2005,0.9114,0.1192,0.0405,9.78,-1.457
0.7211,0.6867,0.827,0.5447,4.6114,5.1804
0.7568,0.3477,0.0103,0.392,5.0059,2.0536
0.6194,0.012,0.5476,0.2174,7.3937,-0.3127
0.7364,0.3551,0.7992,0.3982,5.9699,4.0065
0.5944,0.0946,0.4391,0.6621,2.0031,6.0615
0.9391,0.6367,0.9211,0.7437,3.3333,6.6739
0.6234,0.7879,0.5167,0.5103,6.6766,3.5757
0.3229,0.679,0.9178,0.9596,0.3403,9.4977
0.181,0.3994,0.4933,0.8755,0.1324,8.7671
0.0526,0.9887,0.199,0.6049,2.4243,5.1633
0.6419,0.7929,0.5923,0.0101,8.6401,1.5024
0.118,0.7633,0.2133,0.2771,2.9563,5.3545
0.7425,0.1047,0.5367,0.4694,4.9882,3.1851
0.3179,0.9691,0.7679,0.7178,2.7267,7.0877
0.5557,0.2127,0.2529,0.9729,-0.6917,9.8476
0.5371,0.3869,0.7055,0.6824,3.3464,6.7398
0.5612,0.2256,0.5167,0.062,9.4471,-0.1948
0.9521,0.2447,0.3556,0.727,2.2446,7.1431
0.4866,0.2316,0.5445,0.846,0.8646,8.4308
0.9153,0.2084,0.3363,0.226,7.6297,1.4934
0.5688,0.5887,0.2011,0.7474,5.9102,3.1544
0.9819,0.766,0.7303,0.7691,5.6331,3.9156
0.8365,0.2616,0.4601,0.7854,1.7216,7.7769
0.3765,0.3514,0.0274,0.2478,7.0223,0.2557
0.0863,0.084,0.8016,0.7374,0.9705,6.9782
0.3869,0.5529,0.0439,0.6879,4.5687,2.9144
0.4236,0.551,0.6913,0.0759,2.4151,7.7633
0.4409,0.9734,0.4523,0.078,2.5009,7.7083
0.3566,0.587,0.6291,0.8909,1.2328,8.7498
0.8531,0.193,0.1844,0.0082,10.1022,-1.174
0.0669,0.8424,0.4626,0.6028,2.5553,5.2006
0.0664,0.8549,0.7211,0.4407,5.3321,2.4176
0.2559,0.6761,0.3603,0.831,1.1993,8.2633
0.8517,0.4593,0.5729,0.0693,8.815,1.4199
0.8427,0.102,0.3714,0.9017,-0.9215,9.0661
0.2929,0.1813,0.9167,0.0376,9.7692,-0.8666
0.3238,0.7144,0.0046,0.2441,7.0089,-0.0253
0.8328,0.8229,0.3882,0.0539,9.1928,0.8975
0.6261,0.998,0.7619,0.6366,4.0723,5.9718
0.9064,0.5109,0.4077,0.1177,8.5506,1.592
0.1059,0.3727,0.334,0.8203,0.1266,8.0591
0.4624,0.1791,0.8842,0.4179,5.3889,3.4942
0.3568,0.455,0.244,0.2665,7.2148,2.1678
0.178,0.1086,0.0961,0.3628,5.758,2.323
0.7703,0.2611,0.9391,0.8131,1.4246,8.0708
0.173,0.0981,0.26,0.441,4.2037,3.8988
0.0602,0.7539,0.5246,0.4682,4.5869,3.09
0.8244,0.6653,0.9208,0.085,7.6794,2.2129
0.2695,0.4604,0.1931,0.0585,9.5183,-0.5183
0.5375,0.6219,0.8026,0.0173,2.3231,7.9148
0.5781,0.2156,0.4879,0.1112,8.912,0.2665
0.9867,0.7466,0.526,0.2618,7.0126,3.2346
0.6698,0.5704,0.5049,0.1688,7.8229,2.4335
0.3188,0.7937,0.781,0.1089,2.2454,7.573
0.2236,0.4311,0.9667,0.7159,2.2398,6.9982
0.4345,0.1514,0.4836,0.3497,6.099,2.5369
0.121,0.923,0.0719,0.6647,4.4126,3.3997
0.6577,0.9587,0.226,0.7416,5.9082,3.3472
0.2893,0.6664,0.5772,0.5015,0.1016,9.563
0.5422,0.7279,0.6528,0.8562,2.3502,7.8826
0.0836,0.2326,0.5423,0.7169,1.2264,6.7183
0.7981,0.1781,0.9042,0.3815,5.8056,3.0693
0.0081,0.4136,0.7814,0.1309,0.1735,6.8563
0.1203,0.1681,0.7587,0.3721,4.131,4.2033
0.776,0.4403,0.8628,0.9422,1.227,8.9822
0.3002,0.5021,0.7416,0.1235,2.2955,7.4286
0.5416,0.1161,0.794,0.6297,2.5568,5.7345
0.5278,0.3884,0.3691,0.6764,5.4999,4.5278
0.1003,0.1576,0.6299,0.7678,0.729,7.3971
0.929,0.9321,0.6377,0.0056,8.3886,1.6155
0.706,0.7226,0.6409,0.125,7.5531,2.4387
0.7348,0.3477,0.0978,0.2401,7.2969,0.8026
0.1909,0.6931,0.1268,0.544,2.6822,5.7168
0.7455,0.1489,0.555,0.2925,6.7709,1.8414
0.9404,0.9074,0.1259,0.0442,9.7325,-1.3417
0.8254,0.011,0.9891,0.1353,8.511,-1.4433
0.6201,0.5637,0.6893,0.1942,7.4137,2.7884
0.3342,0.8489,0.262,0.1208,8.7747,0.7268
0.4625,0.734,0.5143,0.5016,1.2213,9.0166
0.9444,0.124,0.4836,0.1823,8.0525,0.3187
0.92,0.5704,0.2699,0.3317,6.5479,3.0029
0.2356,0.6357,0.8373,0.5148,2.4948,6.8293
0.6285,0.7133,0.3448,0.4905,7.6304,2.305
0.9081,0.7009,0.0309,0.7702,5.5988,1.7232
0.5744,0.5141,0.3646,0.6287,5.0399,4.9724
0.0704,0.3354,0.9554,0.9737,-2.1796,9.9755
0.3758,0.3334,0.9766,0.1549,8.3453,1.5408
0.9374,0.0093,0.9531,0.8517,-1.2822,8.3284
0.5349,0.2509,0.6158,0.0018,10.06,-0.6313
0.5952,0.9994,0.8909,0.2002,3.7991,6.3363
0.5194,0.4081,0.0992,0.7406,5.4967,2.6182
0.4681,0.6421,0.3513,0.5885,4.6264,5.3357
0.1549,0.0036,0.7231,0.2549,6.8575,0.1128
0.958,0.2724,0.9766,0.9876,-0.3337,9.8998
0.4421,0.0121,0.6219,0.3267,5.9043,1.1778
0.043,0.9606,0.5838,0.1596,0.8925,6.5793
0.8137,0.5101,0.1032,0.8767,7.2023,0.9547
0.4881,0.952,0.715,0.3184,4.657,5.5974
0.6714,0.9107,0.5254,0.7245,5.9119,4.3363
0.2253,0.5244,0.9751,0.0476,1.0212,8.229
0.0079,0.7049,0.3026,0.4718,4.0699,2.9578
0.5837,0.8064,0.2517,0.8881,7.536,1.8989
0.0712,0.626,0.1371,0.2325,2.0743,5.7308
0.9143,0.4326,0.3957,0.8831,7.4339,2.6779
0.4669,0.5317,0.6651,0.7623,2.8906,7.3514
0.5042,0.803,0.0586,0.3103,6.295,1.3635
0.3056,0.0973,0.6864,0.3752,5.6079,2.4865
0.3805,0.2666,0.8915,0.5638,4.6685,4.8618
0.2143,0.0679,0.6911,0.7759,0.3351,7.4321
